Membership No  Date Joined  Active  
    52936      2016-9-18    no    
    37516      2015-3-7     no    
    76227      2019-8-5     no    
    61970      2016-12-10   no    
    55365      2018-6-1     no    
    49164      2016-11-23   no    
    21151      2015-11-6    no    
    91609      2015-11-18   no    
    38194      2015-3-15    no    
    65262      2018-5-16    no    
    34989      2016-6-22    no    
    71474      2017-7-5     no    
    47465      2018-1-21    no    
    28619      2015-12-21   no    
